U_ele_1 band_gap delta_band 
-3.302 0.6762870000000003 0.7124323523696333
8.879 0 0.3869457780833737
-3.041 0.6414880000000003 0.6923859103901648
-10.0 1.4963899999999999 1.1965863424983034
3.038 0 0.29078407622564184
0.122 0.16019499999999987 0.4486126587967859
6.081 0 0.27851887510891615
-5.692 0.9852250000000002 0.8929283042574709
-1.63 0.4497580000000001 0.583702967424992
-2.243 0.5338509999999999 0.6309302533902114
-2.529 0.5726400000000003 0.6529706913989779
-2.034 0.5053570000000005 0.614826984602141
-2.336 0.5464899999999999 0.6380972026511447
-2.331 0.545811 0.6377120286949876
